"filename", "language", "JSON", "TypeScript", "Markdown", "CSV", "HTML", "JavaScript", "comment", "blank", "total"
"d:\Documents\Code\ChestXAI\README.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 7, 15
"d:\Documents\Code\ChestXAI\package-lock.json", "JSON", 6728, 0, 0, 0, 0, 0, 0, 1, 6729
"d:\Documents\Code\ChestXAI\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Documents\Code\ChestXAI\public\404.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\Documents\Code\ChestXAI\public\index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 7, 22
"d:\Documents\Code\ChestXAI\public\patients\train.csv", "CSV", 0, 0, 0, 223415, 0, 0, 0, 1, 223416
"d:\Documents\Code\ChestXAI\public\patients\valid.csv", "CSV", 0, 0, 0, 235, 0, 0, 0, 1, 236
"d:\Documents\Code\ChestXAI\src\Client\Bristol\BristolBoard.ts", "TypeScript", 0, 608, 0, 0, 0, 0, 80, 58, 746
"d:\Documents\Code\ChestXAI\src\Client\Bristol\UIElement.ts", "TypeScript", 0, 151, 0, 0, 0, 0, 20, 29, 200
"d:\Documents\Code\ChestXAI\src\Client\Bristol\UIFrame.ts", "TypeScript", 0, 198, 0, 0, 0, 0, 9, 32, 239
"d:\Documents\Code\ChestXAI\src\Client\Elements\Button.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 5, 83
"d:\Documents\Code\ChestXAI\src\Client\Elements\Lung.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 4, 10, 98
"d:\Documents\Code\ChestXAI\src\Client\Elements\ProgressBar.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 24, 6, 52
"d:\Documents\Code\ChestXAI\src\Client\Elements\RootElement.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 43, 24, 107
"d:\Documents\Code\ChestXAI\src\Client\Elements\TestDot.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Documents\Code\ChestXAI\src\Client\Elements\UI_ImageElement.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\Documents\Code\ChestXAI\src\Client\Elements\pages\UIP_Gallary.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"d:\Documents\Code\ChestXAI\src\Client\Elements\pages\UIP_Upload.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 13, 15, 100
"d:\Documents\Code\ChestXAI\src\Client\FHTML\FColor.ts", "TypeScript", 0, 510, 0, 0, 0, 0, 9, 12, 531
"d:\Documents\Code\ChestXAI\src\Client\FHTML\FHTML.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 8, 75
"d:\Documents\Code\ChestXAI\src\Client\RestClient.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 5, 53
"d:\Documents\Code\ChestXAI\src\Client\URLManager.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 7, 64
"d:\Documents\Code\ChestXAI\src\Client\clientImports.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 1, 8, 46
"d:\Documents\Code\ChestXAI\src\Client\clientIndex.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 9, 27
"d:\Documents\Code\ChestXAI\src\Common\Animator.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 1, 32
"d:\Documents\Code\ChestXAI\src\Common\Helper.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 1, 10, 140
"d:\Documents\Code\ChestXAI\src\Common\LabResults.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 16
"d:\Documents\Code\ChestXAI\src\Common\Logger.ts", "TypeScript", 0, 300, 0, 0, 0, 0, 22, 16, 338
"d:\Documents\Code\ChestXAI\src\Common\PatientData.ts", "TypeScript", 0, 127, 0, 0, 0, 0, 0, 8, 135
"d:\Documents\Code\ChestXAI\src\Common\SortedLinkedList.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 3, 9, 168
"d:\Documents\Code\ChestXAI\src\Common\Vector.ts", "TypeScript", 0, 104, 0, 0, 0, 0, 1, 4, 109
"d:\Documents\Code\ChestXAI\src\Common\commonImports.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\Documents\Code\ChestXAI\src\Server\BackendServer.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 51, 26, 168
"d:\Documents\Code\ChestXAI\src\Server\serverImports.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\Documents\Code\ChestXAI\src\Server\serverIndex.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 5, 24, 99
"d:\Documents\Code\ChestXAI\src\Server\webpackBrowserConfig.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 70, 13, 146
"d:\Documents\Code\ChestXAI\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Documents\Code\ChestXAI\webpack.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 35, 4, 4, 43
"Total", "-", 6776, 3127, 8, 223650, 32, 35, 360, 377, 234365